id,label
"$10,750,308.00","$10,750,308.00"
$30 million to Program for Evolutionary Dynamics at Harvard University,$30 million to Program for Evolutionary Dynamics at Harvard University
$67 million in Ponzi scheme,$67 million in Ponzi scheme
"116 East 65th Street, New York, New York 10021","116 East 65th Street, New York, New York 10021"
13 months,13 months
13 months (of 18-month sentence) with work-release,13 months (of 18-month sentence) with work-release
13 months imprisonment,13 months imprisonment
13 months in Palm Beach County jail,13 months in Palm Beach County jail
13 months in jail,13 months in jail
13 months in prison,13 months in prison
13 months in prison and 12 months house arrest,13 months in prison and 12 months house arrest
13 months incarceration,13 months incarceration
13 months incarceration with work-release provisions,13 months incarceration with work-release provisions
13 months of 18-month jail term,13 months of 18-month jail term
13 months of 18-month sentence,13 months of 18-month sentence
13-year-old female plaintiff,13-year-old female plaintiff
14-year-old girl,14-year-old girl
14-year-old victim,14-year-old victim
16-year-old girl,16-year-old girl
18 U.S.C. ?? 2255 for undisclosed list of individuals,18 U.S.C. ?? 2255 for undisclosed list of individuals
18 months house arrest,18 months house arrest
18 months imprisonment,18 months imprisonment
18 months imprisonment with work-release privileges,18 months imprisonment with work-release privileges
"18 months imprisonment, sex offender registration, and victim restitution","18 months imprisonment, sex offender registration, and victim restitution"
18 months in Palm Beach County Jail,18 months in Palm Beach County Jail
18 months in prison,18 months in prison
18 months incarceration,18 months incarceration
18 months jail for solicitation of prostitution,18 months jail for solicitation of prostitution
18 or older,18 or older
18-30 months imprisonment,18-30 months imprisonment
18-month jail sentence,18-month jail sentence
18-month jail term,18-month jail term
18-month prison sentence,18-month prison sentence
18-month sentence,18-month sentence
18-month sentence at Stockade,18-month sentence at Stockade
18-month sentence with early release pending federal cooperation,18-month sentence with early release pending federal cooperation
2 pm,2 pm
2016 U.S. Presidential Election,2016 U.S. Presidential Election
2017 IFP Gotham Awards ceremony,2017 IFP Gotham Awards ceremony
2020 presidential election,2020 presidential election
"21 physicists from Princeton, Harvard, MIT, and CERN","21 physicists from Princeton, Harvard, MIT, and CERN"
"22 Avenue Foch, Paris, France","22 Avenue Foch, Paris, France"
24 underage girls (Jane Does) (HOUSE_OVERSIGHT_013423),24 underage girls (Jane Does) (HOUSE_OVERSIGHT_013423)
3 pm,3 pm
3 pm tomorrow,3 pm tomorrow
30 months incarceration,30 months incarceration
"301 East 66 Street, New York","301 East 66 Street, New York"
"358 El Brillo Way, Palm Beach, FL 33480","358 El Brillo Way, Palm Beach, FL 33480"
40 girls specified by FBI in civil suits,40 girls specified by FBI in civil suits
